"","Mes","Descricao","Categoria","Parcelas","Credito","Debito","FOP","Situacao"
"1","Jan","vivo banda larga","air bnb","Mensal",NA,56.95,"CCorrente Santander","Pago"
"2","Jan","vivo banda larga","internet","Mensal",NA,56.95,"CCorrente Santander","Pago"
"3","Jan","iof","impostos","Mensal",NA,13.9,"CCorrente Santander","Pago"
"4","Jan","iof","impostos","Mensal",NA,2.46,"CCorrente Santander","Pago"
"5","Jan","kabecos","alimentacao"," -",NA,53.5,"CCorrente Santander","Pago"
"6","Jan","i-food","alimentacao"," -",NA,34.9,"CCorrente Santander","Pago"
"7","Jan","ronaldo","outros"," -",NA,170,"CCorrente Santander","Pago"
"8","Jan","help","vestuario","2/4",NA,97.42,"CCredito Nubank","Pago"
"9","Jan","muller eletico ","air bnb","8/10",NA,122.9,"CCredito Nubank","Pago"
"10","Jan","parcelamento nubank","dividas","9/12",NA,478.06,"CCredito Nubank","Pago"
"11","Jan","carone","alimentacao","2/2",NA,206.55,"CCredito Nubank","Pago"
"12","Jan","tok stok","moveis","7/10",NA,65,"CCredito Nubank","Pago"
"13","Jan","otica londres","cuidados pessoais","10/10",NA,44.9,"CCredito Nubank","Pago"
"14","Jan","amazon","eletrodomesticos","7/10",NA,33.03,"CCredito Nubank","Pago"
"15","Jan","oticas diniz","cuidados pessoais","3/10",NA,113,"CCredito Nubank","Pago"
"16","Jan","amazon","air bnb","10/10",NA,39.9,"CCredito Nubank","Pago"
"17","Jan","99 taxi","transporte"," -",NA,154.69,"CCredito Nubank","Pago"
"18","Jan","spotfy","assinatura","Mensal",NA,19.9,"CCredito Nubank","Pago"
"19","Jan","vacina","saude"," -",NA,95,"CCredito Nubank","Pago"
"20","Jan","vestuario","cuidados pessoais"," -",NA,65.6,"CCredito Nubank","Pago"
"21","Jan","globo play","assinatura","Mensal",NA,22.9,"CCredito Nubank","Pago"
"22","Jan","diversos","diversos"," -",NA,49.4,"CCredito Nubank","Pago"
"23","Jan","depilare","cuidados pessoais"," -",NA,168,"CCredito Nubank","Pago"
"24","Jan","padaria","alimentacao"," -",NA,6.19,"CCredito Nubank","Pago"
"25","Jan","farmacia","saude"," -",NA,17.5,"CCredito Nubank","Pago"
"26","Jan","recarga","celular"," -",NA,40,"CCredito Nubank","Pago"
"27","Jan","google","assinatura","Mensal",NA,6.99,"CCredito Nubank","Pago"
"28","Jan","insider","vestuario","1/3",NA,91,"CCredito Nubank","Pago"
"29","Jan","celular ruy","presente","1/6",NA,111.5,"CCredito Nubank","Pago"
"30","Jan","pedro","air bnb"," -",3000,NA,"CCorrente Santander","Pago"
"31","Jan","escelsa ","air bnb","Mensal",NA,163.49,"CCorrente Santander","Pago"
"32","Jan","escelsa ","energia","Mensal",NA,163.49,"CCorrente Santander","Pago"
"33","Jan","cvc corp ","salario"," -",3985.76,NA,"CCorrente Santander","Pago"
"34","Jan","edf maison rio branco","condominio","Mensal",NA,271.46,"CCorrente Santander","Pago"
"35","Jan","santander","dividas","10/45",NA,602,"CCorrente Santander","Pago"
"36","Jan","edf maison rio branco","air bnb","Mensal",NA,271.46,"CCorrente Santander","Pago"
